Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-28,ADANIENT,EQ,157.2,157.1,160.35,156.05,157.85,157.65,157.83,5456461,86116856180000.0,34877,978874,0.1794
2019-05-29,ADANIENT,EQ,157.65,157.95,158.4,151.75,157.0,155.15,154.95,12993604,201331920570000.0,77069,1083961,0.0834
2019-05-30,ADANIENT,EQ,155.15,158.1,159.4,155.1,158.05,158.1,157.18,6740283,105943360900000.0,37195,940688,0.1396
2019-05-31,ADANIENT,EQ,158.1,158.5,159.3,149.1,154.0,154.75,154.37,7553254,116598528234999.98,41292,1133504,0.1501
2019-06-03,ADANIENT,EQ,154.75,154.0,161.9,151.65,158.6,159.05,157.21,7975636,125388932980000.0,44818,1205288,0.15109999999999998
2019-06-04,ADANIENT,EQ,159.05,158.15,159.3,154.5,158.0,157.6,156.96,5502910,86374063090000.0,30946,462021,0.084
2019-06-06,ADANIENT,EQ,157.6,156.9,157.8,151.2,151.75,153.15,153.9,3832155,58975312775000.0,22049,550283,0.1436
2019-06-07,ADANIENT,EQ,153.15,152.95,153.55,146.8,152.0,151.35,150.09,5016442,75291906245000.0,28649,421025,0.0839
2019-06-10,ADANIENT,EQ,151.35,152.0,155.5,147.0,150.1,149.95,150.98,3967379,59899646340000.0,23758,376103,0.09480000000000001
2019-06-11,ADANIENT,EQ,149.95,149.5,154.25,148.35,153.8,153.6,151.7,3413094,51777831545000.0,20745,484091,0.1418
2019-06-12,ADANIENT,EQ,153.6,154.0,159.35,150.55,154.6,153.2,155.15,7477081,116008136840000.02,44488,750752,0.10039999999999999
2019-06-13,ADANIENT,EQ,153.2,153.2,158.85,149.0,152.35,153.1,153.24,7968656,122112117965000.02,41879,963215,0.12090000000000001
2019-06-14,ADANIENT,EQ,153.1,156.0,156.0,151.55,152.05,152.45,153.78,6589668,101332940945000.0,36381,567173,0.0861
2019-06-17,ADANIENT,EQ,152.45,153.0,153.95,147.25,148.2,147.9,149.34,3470303,51825590425000.0,24073,533647,0.1362
2019-06-18,ADANIENT,EQ,147.9,147.35,148.85,144.0,147.45,147.95,146.68,5764444,84553203800000.0,31823,590019,0.0943
2019-06-19,ADANIENT,EQ,147.95,148.45,149.75,140.6,141.5,142.8,144.83,4744374,68712698245000.01,28162,673360,0.1419
